28477,5063400303,NO DESCRIPTION AVAILABLE
28475,2720000216,NO DESCRIPTION AVAILABLE
28476,0000003441,+WFM * N/AV BTRY PGCRB N/
28482,1540006250,
28483,4111600527,
28500,3997800105,
28501,8966903593,
28502,1540001664,
28506,9237600241,
28510,2251887110,
28511,5605200214,
28512,3400002910,
28513,8273300027,
28515,0418312140,
28516,5844977731,
28519,1862702370,
28522,2066210126,
28523,6387800011,
28524,5759700300,
28525,7373100118,
28542,8775900005,
28545,8775900005,
28548,8105438435,
28565,1029037810,
28566,1475701003,
28567,5260304283,
28568,1556823127,
28569,7675312475,
28570,6414431650,
28571,2420004303,
28572,7482008536,
28573,7695020328,
28574,9940700295,
28575,5692361111,
28576,8087804220,
28577,8576200011,
28578,1087834111,
28579,7161590149,
28580,0004362803,
28581,8832013005,
28582,1540005707,
28583,1070051920,
28584,7116904449,
28585,1540000576,
28601,5553100206,
28602,1540059048,
28603,8151900681,
28604,4116761803,
28605,1540012595,
28606,7046203598,
28607,3297627002,
28608,7100709128,
28609,8380404719,
28499,0785781399,DURACELL 9 VOLT 2 PACK
28596,4260845977,F/L LAYS CLASSIC
28481,8410580052,NO DESCRIPTION AVAILABLE
28591,0980089500,F/L CHEETOS CRUNCHY
28593,5103500324,F/L DORITOS NACHO CHEESE
28491,4116705703,DURACELL ALKALINE BATTERY D
28484,7007440702,+WFM * N/AV BTRY PGCRB N/
28494,4800171177,DURACELL ®C® 4PK FD
28480,7061278090,+WFM * N/AV BTRY PGCRB N/
28492,2836783296,DURACELL ®D® CELL FD
28588,0997581300,F/L FRITOS ORIGINAL
28594,6071206001,F/L LAYS BBQ
28587,3100010918,F/L SMARTFOOD WHITE CHEDDAR
28531,2178850695,SCTCH TAPE PACKNG SS 1.88IN
28486,8425322663,
28549,5920110201,WF TAPE PCKNG TAN 2       1293
28589,7032200534,F/L CHEETOS JUMBO PUFFS
28550,1540012593,"""BORDEN KRAZY GLUE GEL"""
28590,7060206300,
28493,7222022031,DURACELL C CELL 2 PACK
28495,5210035224,
28485,4119601012,
28586,4256360272,
28559,0000000142,POST-IT 4PK ASST 5401A
28509,7613213010,"""3M BUBBLE WRAP 7920"""
28597,2700038963,
28520,7117010078,
28558,3291322734,BIC MICRO CORRECTION TAPE
28544,2840018033,
28528,8306130121,
28508,3671160070,"""3M PSTAL WRAP PAP 60539"""
28490,1185210011,EV WCH/ELC BCR2025BP3V
28557,3980002091,(R)BIC WITE OUT PL.QK DR
28489,7765208229,ER PHOTO LITH EL1CR2
28503,2113150913,
28517,8500001774,TOP FLT INDEX CARDS
28553,7024712311,SHARPIE 3 PK W/FREE SUPE
28563,1630016569,CRAYOLAS TUCK BOX
28518,1258770441,
28541,0766900000,
28564,3120000226,20 LB BAG ICE
28507,1135500269,
28547,3598506944,EV PHTO EL 123APBP
28532,1029026445,
28560,8680068845,WHITE GLUE STICKS 2-.28OZ
28521,5385920107,"""ELMR RBR CME 904"""
28556,5543761001,
28537,2500005542,WF PAPER PUNCH W/GRIPS
28599,7891318598,
28514,6414403064,TOP FLT BOX ENVELOPE WHI
28505,0003746653,
28598,0002541834,
28538,2840024052,WF PAPER CLIPS
28529,0085411201,
28534,2680000160,
28527,9042923283,
28526,8775900005,
28555,1300873039,
28552,4256300794,
28543,3700013885,
28504,0061001106,
28539,1029034704,
28561,2652831394,
28562,4316848688,
28536,5355200302,
28487,0039550927,
28610,7872977270,
28611,7283000177,
28612,2720000867,
