election_txt,election_year,candidate_name,committee_name,party_affiliation,total,total_spent,grassroots,instate
,,James G Needham,We Needham,Nonpartisan,1616.28,1214.62,0.747153,0.456756
,,Mark E Bennett,Mark Bennett for Baker County,Republican,3510.08,3980.63,0.828816,0.256776
,,Michael A. Greenlick,Committee to Retain Judge Greenlick,Nonpartisan,1080.49,1825,,1
,,John Beatty,Committee to Elect John Beatty,Democrat,4697.94,2507.89,0.351585,0.590778
,,John McCafferty,McCafferty for Josephine County Treasurer,Nonpartisan,3078.9,6527.22,0.267953,0.699568
,,Locke A. Williams,Williams for Judge,Nonpartisan,,185,,
,,Lindsay Berschauer,Lindsay for District 26,Republican,5600,5668.37,,1
,,Lynn Nakamoto,Committee to Elect Judge Lynn R Nakamoto,Nonpartisan,3300,6000,,1
,,Andy Stahl,Andy Stahl for Lane County Commission,Nonpartisan,44905.71,37115.6,0.290313,0.730435
,,Brian Van Bergen,Friends of Brian Van Bergen,Nonpartisan,10126.28,12663.98,0.168589,0.886787
,,Tim Casey,Friends of Tim Casey for Sheriff,Nonpartisan,74563.34,68791.42,0.118016,0.883083
,,Robert Main,Committee to elect Robert Bob Main Coos County Commissioner,Nonpartisan,24119.69,19158.68,0.138675,0.897685
,,Peter Buckley,Committee to Re-Elect Peter Buckley,Working Families,389453.11,373167.85,0.0418886,0.847513
,,Andrew W Petersen,Andrew Petersen For Oregon,Republican,234230.1,134497.39,0.112456,0.898935
,,Jerry L Wilson,Jerry Wilson for Governor,Progressive,,1087.21,,
,,Ed W Brockman,Ed Brockman for Lake Oswego City Council,Nonpartisan,3403,3496.94,0.0449603,0.95504
,,Curtis W Chancler,Committee to Elect Curt Chancler for County Commissioner,Nonaffiliated,12672.19,10894.29,0.0729759,0.886854
,,Sally Russell,Sally Russell for Bend City Council,Nonpartisan,15050.75,16666.37,0.433539,0.731054
,,Chris T Boice,Friends of Chris Boice,Nonpartisan,52410,53565.82,0.207032,0.860989
,,Dallas W Brown,Dallas for Deschutes,Democrat,2475.35,2546.73,0.567634,0.890673
,,Michael Zarosinski,Committee to elect Michael Zarosinski,Nonpartisan,6829.57,7530.56,0.231343,0.768657
,,Don Moore,Don Moore for Commissioner,Nonpartisan,14633.58,11410.7,0.0209518,0.979048
,,Shemia Fagan,Committee to Elect Shemia Fagan,Working Families,1821364.63,606102.869999999,0.0290604,0.945701
,,Walt Wagner,Crook County Citizens for Walt Wagner,Independent,4591.19,5229.89,0.505428,0.651387
,,Mark Meek,Friends of Mark Meek,Nonpartisan,16754.32,20065.09,0.111208,0.905227
,,Rex O. Watkins,Rex Watkins for Governor of Oregon,Republican,,748.7,,
,,Andy R Erwin,The Committee to Elect Andy Erwin For Judge,Nonpartisan,13963.56,406.44,1,0.333333
,,Greg Mecklem,Greg Mecklem for County Commission,Nonpartisan,87850.04,6324.94,,1
,,Patrick M Malone,Friends of Pat Malone,Democrat,21779,33452.98,0.579562,0.330573
,,James L. (Jim) Thompson,Citizens for Jim Thompson,Republican,362836.42,400227.65,0.0452655,0.736831
,,Karen A Leach,Friends of Karen Leach,Nonpartisan,4766.83,3122,0.120179,0.923522
,,Elizabeth A. Jones,Friends of Beth Jones for HD 23,Republican,698.89,,0.298888,0.793959
,,Dennis Koho,Koho for Keizer,Nonpartisan,300,300,1,
,,Lorraine M Rafferty,Mae For Governor,Republican,11620.09,8600,0.0248751,0.975125
,,Bob R Just,Friends of Bob Just,Nonpartisan,34308.53,33614.81,0.245806,0.828355
,,David G Gwyther,Go Gwyther,Nonpartisan,1865.1,1865.1,1,
,,William Elfering,Committee to Elect Bill Elfering,Nonpartisan,7662.96,6662.56,0.655202,0.469599
,,Juan Carlos Valle,Committee to Elect Juan Carlos Valle,Nonpartisan,37407.02,37858.78,0.298795,0.732483
,,Stephen J McKinney,Committee to Elect Stephen J. McKinney County Commissioner,Nonpartisan,2497,4078.38,0.999199,0.000800961
,,Ann Lininger,Committee to Elect Ann Lininger,Working Families,14550,27777.42,0.446735,0.725086
,,Steven H. Frank,Frank4Senate,Democrat,2364,3663.62,0.316109,0.683891
,,David G Itzen,Committee to Elect David Itzen Commissioner,Nonpartisan,14750.82,17118.52,0.123654,0.872956
,,Andy Olson,Friends of Andy Olson,Republican,471048.78,496977.31,0.0314541,0.68773
,,Michael P Powers,Mike Powers for House District 20,Democrat,1074.93,3550.07,,
,,Paul Savas,Friends of Paul Savas,Nonpartisan,183794.89,213388.74,0.142169,0.852998
,,Susan Acree,Acree for Assessor,Nonpartisan,2655.34,104.16,,
,,Thomas Sincic,Friends of Tom Sincic,Democrat,20266.62,18478.13,0.825621,0.341245
,,Regina Ayars,Committee to Elect Regina Ayars,Nonpartisan,8052.29,7558.52,0.880096,0.119904
,,Charles Burley,Chuck Burley for State Representative,Republican,,5216.48,,
,,Eric Squires,Eric Squires for TVWD Position 4,Working Families,6482.5,5129.71,0.521368,0.602423
,,Teressa L Raiford,Teressa Raiford for Multnomah County Commissioner,Nonpartisan,7593.86,1205.31,0.166853,0.836488
,,William A Fleenor,Bill Fleenor,Nonpartisan,1864.47,1200,0.0268173,0.973183
,,Joseph Franklin Morse,Frank Morse for State Senate,Republican,19163.75,54948.88,0.00372304,0.538312
,,Mike Claassen,Committee to Elect Mike Claassen for Mayor,Nonpartisan,2978.95,3030.13,0.0754717,0.90566
,,Ken Fahlgren,Ken Fahlgren for Crook County Commissioner,Nonpartisan,3850,2022,0.52,0.64
,,Natalie Voruz,Natalie Voruz for Fairview City Council,Nonpartisan,1301,1505.38,0.076864,0.923136
,,Richard D Kellum,Friends of Rich Kellum,Nonpartisan,10065.92,10389.8,0.138708,0.901165
,,Sally Lou Avera,Committee to Elect Sally Avera Circuit Court Judge,Nonpartisan,,1493.43,,
,,Douglas P. Breidenthal,Friends of Doug Breidenthal,Republican,51364.19,72670.26,0.243659,0.864481
,,Brent Barton,Friends of Brent Barton,Working Families,1563400.56,468121.88,0.0114026,0.953213
,,Brian C. Dretke,Friends to Elect Brian Dretke,Nonpartisan,6650,6955.28,0.0150376,0.909774
,,Margaret Howe,Committee to Elect Lynn Howe,Working Families,42146.72,7102.9,0.00136811,0.998632
,,Lynn P Findley,Committee to Elect Lynn Findley Malheur County Commissioner,Republican,5439.96,5229.37,0.347029,0.426943
,,David Schutt,"Committee to Support David A. Schutt, Lake County District Attorney",Nonpartisan,4089.23,6259.65,0.420617,0.596501
,,Karen D Bowerman,Karen Bowerman for County Commissioner,Nonpartisan,43314.8,22430.16,0.0702068,0.897033
,,Steven D. Kramer,Steve Kramer for Wasco County Commissioner #2,Nonpartisan,4392,4392,0.442168,0.717213
,,Shala M Kudlac,Committee to Elect Shala McKenzie Kudlac,Nonpartisan,5619.92,2480.5,0.0996455,0.928825
,,peter m shepherd,Committee to Elect Peter Mike Shepherd Sheriff,Nonpartisan,11161,7189.42,0.122749,0.946241
,,Tom Rohlfing,Tom Rohlfing For Assessor,Nonpartisan,10385,10163.52,0.169309,0.693088
,,Tony B Page,Committee to Elect Tony Page Douglas County Assessor,Nonpartisan,4556.36,69.48,,
,,Lance Masters,Masters Election Committee,Nonpartisan,2916.41,,0.152765,0.878757
,,Mark Labhart,Committee to Elect Mark Labhart,Nonpartisan,5650,5730.25,0.851485,0.227723
,,Brett Veatch,Citizens for Brett Veatch,Nonpartisan,8520.63,11968.29,0.0352087,0.988264
,,Bruce Cuff,Friends of Bruce Cuff,Republican,15915.78,15029.85,0.155988,0.784017
,,Mark Vincent,Friends of Mark Vincent,Nonpartisan,4219,4587.11,0.232202,0.818831
,,Andrew L Kaza,Friends of Andrew Kaza,Independent,13775,13791,0.24486,0.221308
,,Rob Patridge,Committee to Elect Rob Patridge,Nonpartisan,59071.36,47265.52,0.307535,0.784657
,,John Goodhouse,Friends of John Goodhouse,Nonpartisan,63588.57,48897.52,0.182132,0.854865
,,Ray Kopczynski,ElectRayK,Nonpartisan,2892,2842,1,0.910714
,,Bill Kennemer,Friends of Bill Kennemer,Independent,294796.96,293855.43,0.0503174,0.778972
,,Jason Conger,Committee to Elect Jason Conger,Republican,480884.16,435705.16,0.0316527,0.876829
,,Mark R. Webb,Campaign for Mark Webb,Nonpartisan,6550,5071.31,0.0381679,0.961832
,,Julie S Young,Friends of Julie Young,Democrat,,17555.66,,
,,Scott Starr,Friends of Scott Starr,Nonpartisan,450,1376.17,0.285714,
,,Arleen Curths,Arleen Curths For County Commissioner,Nonpartisan,1800,,,
,,Jackie Manz,Jackie Manz for City Council,Nonpartisan,5988.78,5668.36,0.232688,0.635953
,,Bruce D Ludwig,Committee to Elect Bruce Ludwig for Sheriff,Nonpartisan,1306.45,1306.45,0.31111,0.77037
,,Rick Miller,An Independent Voice for Oregon,Independent,107277.3,42844.92,0.000710216,0.99929
,,Robert C. Moore,Committee to Elect Bob Moore County Commissioner,Nonpartisan,4410,6989.38,0.240363,0.85034
,,John Simpson,John Simpson for EWEB Committee,Nonpartisan,,32.8,,
,,Steven Novick,Novick for Portland,Nonpartisan,334289.69,279416.85,0.261374,0.780062
,,Gregory Kord,Greg Kord for Governor,Constitution,,450,,
,,Terry Parker,Terry Parker for Metro,Nonpartisan,7779.89,6300.55,0.0588336,0.941166
,,Greg Matthews,Friends of Greg Matthews,Democrat,148100.63,177704.78,0.00726141,0.882197
,,Joann Ernst,Friends of Joann Ernst,Nonpartisan,18730.97,20322.01,0.666332,0.383947
,,Sandy N Webb,Friends of Sandy Webb,Democrat,4713.55,1618.02,,
,,Roger A. Hartman,Committee to Elect Roger Hartman Assessor,Nonpartisan,22810.76,23026.07,0.279945,0.787381
,,J. Mark Lawrence,Lawrence for Judge,Nonpartisan,2212.12,2060.72,0.482796,0.843399
,,Jerry J. Jackson,Elect Jackson Commissioner,Republican,11121.27,11075.19,0.29589,0.751575
,,Janice H. Giunta,Committee to Elect Jan Giunta,Nonpartisan,27090,26161.79,0.196013,0.85179
,,Steven P. McCoid,Friends of Steve McCoid,Nonpartisan,23991.8,23687.07,0.124986,0.905509
,,Robert J Austin,Friends of Bob Austin,Nonpartisan,4336.74,826.76,,
,,Harry Price,Price for PUD Board,Nonpartisan,2981.76,4618.91,0.63109,0.390699
,,Timothy R. Park,Park for Polk DA Committee,Nonpartisan,3000,3000,,1
,,James Loftus,Friends of James Loftus,Nonpartisan,125,16,1,
,,Joel Ockunzzi,Joel Ockunzzi for Jackson County Commission,Republican,62059.38,49881.95,0.0637771,0.94613
,,Jaynee Germond,Committee to Elect Germond,Nonpartisan,9176.4,5457,0.181435,0.818565
,,Nicholas I Caleb,Friends of Nick Caleb,Nonpartisan,9659.28,7069.38,0.87654,0.202264
,,Bruce Hanna,Friends of Bruce Hanna,Republican,877758.77,994424.669999999,0.00654961,0.802955
,,Todd L Kellstrom,Kellstrom for Mayor,Nonpartisan,8618.15,8737.18,0.438609,0.578796
,,Dwight Coon,Friends of Dwight Coon,Republican,377160.56,200165.48,0.0120267,0.991706
,,Nathan Hovekamp,Friends of Nathan R. Hovekamp,Working Families,172527.41,71250.04,0.134649,0.89525
,,Marc A Shelton,Shelton for Commissioner 3,Nonpartisan,500,517.85,0.4,0.6
,,Joe Laurance,Laurance for Commissioner,Nonpartisan,,418.63,,
,,Carlotta Collette,Re-Elect Carlotta Collette to Metro,Nonpartisan,44800.47,25386.44,0.374449,0.69497
,,Mark Callahan,Elect Mark Callahan,Republican,5999.26,5160.01,0.493584,0.550825
,,Rebecca Lemler,Friends of Becky Lemler,Republican,2817.27,12964.41,,
,,Allen Amabisca,Allen Amabisca for Washington County,Nonpartisan,132431.14,164002.75,0.274331,0.852399
,,Corey Falls,Corey Falls for Sheriff,Nonpartisan,53892.22,50208.22,0.377241,0.599445
,,Marland H. Henderson,Elect Marland Henderson Tigard City Council,Nonpartisan,7340,7040.79,0.264706,0.735294
,,Mary E Starrett,Friends of Mary Starrett,Nonpartisan,21236.14,7928.76,0.178509,0.86311
,,James J Nicita,Committee to Elect James J. Nicita,Nonpartisan,,169.92,,
,,John Kroger,John Kroger for Attorney General,Democrat,553410.73,369419.23,0.0129535,0.235608
,,Stephen L Bates,Friends of Steve Bates,Nonpartisan,52799.3,45005.44,0.0811598,0.936947
,,Jim Olney,Committee to Elect Jim Olney,Democrat,5000,,,
,,Barb Campbell,Barb for Bend,Nonpartisan,16882.98,10604.85,0.135908,0.862658
,,Jeffrey A Helfrich,Friends of Jeff Helfrich,Nonpartisan,2763.2,625.3,0.158829,0.812956
,,Timothy R. Volpert,Tim Volpert for Court of Appeals,Nonpartisan,62527.89,87167.74,0.300688,0.698433
,,Jeff M. Gudman,Gudman for Lake Oswego City Council,Nonpartisan,0.01,239.98,,
,,Allen Springer,Springer For Commissioner,Nonpartisan,9194.78,9321.2,0.336243,0.802498
,,Janet M Damon,Friends of Jamie Damon,Democrat,711183.39,417704.79,0.09455,0.845918
,,Donna L Lane,Donna Lane Committee for City Council,Nonpartisan,1585.6,3807.18,1,0.64
,,Mary Nolan,Mary Nolan for City Council,Democrat,644653.43,714083.17,0.142083,0.87725
,,Jeff Kruse,Committee to Elect Jeff Kruse,Republican,185068.11,173213.68,0.0108951,0.684347
,,Craig Pope,Friends of Craig Pope,Republican,43015.5,35022.23,0.195721,0.833934
,,Craig Pope,Friends of Craig Pope,Republican,43015.5,35022.23,0.195721,0.833934
,,Scott Churchill,The Committee to Elect Scott Churchill,Nonpartisan,3264.64,2930,0.156219,0.843781
,,Peter L Nordbye,Neighbors For Nordbye,Democrat,14636.31,22241.63,1,0.0261218
,,Seth A Woolley,Seth Woolley for Secretary of State,Pacific Green,2800,,,1
,,Russell G Boudon,Russell Boudon for Yamhill Co. Clerk,Nonpartisan,1080,1528.26,0.166667,0.833333
,,William M Shields,Friends of Chip Shields,Democrat,189920.61,197686.05,0.0163393,0.799547
,,Henry A Balensifer,Committee to Elect Henry Balensifer,Nonpartisan,3992.65,3493.67,0.573935,0.451378
,,Krisanna H Clark,Clark for Mayor,Nonpartisan,13681.13,8791.31,0.296895,0.773223
,,Sherrie Sprenger,Friends of Sherrie Sprenger,Libertarian,149395.54,164121.76,0.0476561,0.821481
,,John Huffman,Committee to Elect John E. Huffman,Republican,240081.83,256707.7,0.0556886,0.753284
,,Margaret Carter,Friends of Margaret Carter,Democrat,212,424.4,,
,,Nicholas K Card,Committee to Elect Nick Card,Republican,11964.66,9397.9,0.0561765,0.823445
,,Bridget Bailey,Bridget Bailey for Wasco County Commissioner,Nonpartisan,28695.16,30459.64,0.288281,0.740234
,,Riley Hill,Riley Hill for City Council,Nonpartisan,3600,4083.57,0.319444,0.666667
,,Sheri Moore,Friends of Sheri Moore,Nonpartisan,5750,6354.68,0.368421,0.631579
,,Warren E Baker Jr.,Elect Skip Baker Committee,Nonpartisan,268.81,,,
,,Brian D Hodson,Friends of Brian Hodson,Nonpartisan,5009.33,4968.72,0.372671,0.669502
,,Stephen Shields,Steve Shields 2010,Democrat,17458.81,1963.68,,
,,Spencer Burton,Spencer Burton for Portland,Nonpartisan,,,,
,,Mark Gamba,Friends of Mark Gamba,Nonpartisan,2775,2452.63,0.72973,0.459459
,,Loma M Wharton,Loma Wharton for County of Douglas Clerk Recorder,Nonpartisan,,,,
,,Susan Brown,The Committee to Elect Susan Brown,Nonpartisan,2310,2647.66,0.675325,0.4329
,,Deborah Barnes,Friends of Deborah Barnes for Mayor of Milwaukie,Democrat,,159.89,,
,,James W. Rudolph,Jim Rudolph for Treasurer,Nonpartisan,3221.28,3221.28,0.186261,0.875826
,,Joseph Gallegos,Friends of Joe Gallegos,Democrat,1417758.13,418181.02,0.0308864,0.941155
,,Kathryn P Eckman,Kathie Eckman for Bend City Council,Nonpartisan,17750,18050.95,,1
,,Larry Givens,Committee to re-elect Larry Givens,Nonpartisan,14634.31,3865.59,0.107485,0.919386
,,Walter R. Miller,Randy Miller for Judge,Nonpartisan,48504.14,33485,0.277541,0.646877
,,Brad Perkins,Brad Perkins for Metro,Nonpartisan,7292.17,7923.67,0.339405,0.68649
,,Dawn Lesley,Dawn Lesley for Action,Nonpartisan,135409.38,126393.51,0.405087,0.639759
,,Thomas J Maginnis,Maginnis for a Change Committee,Republican,400,1468.05,0.5,0.5
,,John Ludlow,Friends of John Ludlow,Nonpartisan,299855.64,202111.19,0.0557178,0.947816
,,Frank Skrah,Committee to Elect Frank Skrah Sheriff,Nonpartisan,2660.95,7293.67,0.342716,0.882767
,,John Swanson,Friends of John Swanson,Nonpartisan,22490.2,20476.75,0.193447,0.834404
,,Betsy Close,Close Friends PAC,Republican,659558.4,244142.33,0.0176456,0.932091
,,Scott Jackson,Scott Jackson For Sheriff,Nonpartisan,2054.53,2695.16,1,0.353659
,,Lawrence George,Larry George for State Senate,Republican,213701.78,204464.5,0.00109468,0.837166
,,J. Sarah Nebeker,Elect Sarah Nebeker,Nonpartisan,5984.25,8197.72,0.297307,0.27698
,,Richard J Goddard,Friends of Richard Goddard,Nonpartisan,16183.16,14378.03,0.214534,0.788401
,,Adriana H Canas,Friends of Adriana Canas,Democrat,24561.37,21573.75,0.304975,0.616692
,,Sharon Yvette Maxwell,Sharon Maxwell For Portland,Nonpartisan,2832.02,2304.16,0.911724,0.141242
,,Kevin S Bryck,Elect Kevin Bryck,Nonpartisan,268.39,72.95,,
,,William C Wehr,Bill Wehr for Damascus City Council,Nonpartisan,3468.43,505,0.0229903,0.97701
,,Pamela M Ackley,Pam Ackley Campaign Account,Nonpartisan,4912,3812.15,0.63355,0.447883
,,Lawrence D. Taylor,Elect Larry Taylor,Nonpartisan,5567.88,7410.88,0.840695,0.34422
,,Gail Whitsett,Gail Whitsett for Oregon,Libertarian,141879.01,152049.52,0.104153,0.779721
,,Daina Vitolins,Vitolins for Crook County District Attorney,Nonpartisan,5645.36,7.61,,
,,Frank Orrell,Orrell for Clatsop County Commission,Nonpartisan,5661,4342.3,0.346405,0.711005
,,Megan D Braze,Elect Megan Braze,Nonpartisan,878.13,648.81,0.145912,0.854088
,,Fred Messerle,Messerle 4 Commissioner,Nonpartisan,31438.26,34422.54,0.267624,0.805775
,,Gary L Leif,Committee to Elect Leif for Douglas County Commissioner,Nonpartisan,37993.06,46298.74,0.161194,0.905936
,,Robert L Sergi,Bob Sergi for Sheriff,Nonpartisan,35345.17,27575.9,0.418049,0.407229
,,Mike McCabe,Committee to Elect Mike McCabe Crook County Judge,Republican,8832.44,9910.35,0.519017,0.532067
,,Amanda Fritz,Amanda for Portland 2012,Nonpartisan,513954.89,328039.57,0.309404,0.755028
,,Jody Carson,Jody Carson for City Council,Nonpartisan,26,182.49,1,
,,Jody Carson,Jody Carson for City Council,Nonpartisan,26,182.49,1,
,,Cynthia R Condon,Friends of Cindy Condon,Democrat,1700,30.9,0.117647,0.882353
,,Scott McAlpine,Scott McAlpine for City Commissioner,Nonpartisan,1633.55,3092.82,0.204328,0.795672
,,Judith Stiegler,Judy for District 54,Working Families,18839.94,706.91,,1
,,Casey J Runyan,Runyan For Oregon,Republican,4487.83,2775.43,0.305768,0.757244
,,Jodie D Barram,Jodie For Deschutes,Democrat,53091.03,47265.58,0.328474,0.748648
,,Eric Postma,Friends of Eric Postma,Nonpartisan,11371.07,8820,0.126821,0.780056
,,Richard S Anderson,Friends of Dick Anderson,Nonpartisan,13742.52,16167.35,0.305621,0.752593
,,Douglas L. Tookey,Judge Doug Tookey for Oregon Court of Appeals,Nonpartisan,3350,10160,0.0740741,0.925926
,,Jay McAlpin,Keep Judge Jay McAlpin,Nonpartisan,37172.77,32550.73,0.205087,0.439144
,,Dale N Barrett,Barrett for Clatsop County Commission #5,Nonpartisan,12444,12544.4,0.239776,0.744932
,,Bob Terry,Re-elect Bob Terry County Commissioner,Nonpartisan,194041.84,237113.72,0.0706735,0.923968
,,Chuck Riley,Friends of Chuck Riley,Working Families,15351.48,21347.73,0.132561,0.86744
,,Chuck Riley,Friends of Chuck Riley,Democrat,15351.48,21347.73,0.132561,0.86744
,,William Curtright,Ames for Oregon,Republican,,8333.82,,
,,Jennifer Williamson,Friends of Jennifer Williamson,Working Families,437191.39,445501.09,0.11883,0.814596
,,James B Patrick,James B Patrick for Lincoln County Commissioner,Nonpartisan,2550,2550,,1
,,Donald Reedy,Committee to Elect Don Reedy,Nonpartisan,6525.6,4743.6,,1
,,David A. Drotzmann,Dave Drotzmann for Mayor,Nonpartisan,12343.96,11191.26,0.321281,0.747943
,,Arline J LaMear,LaMear for Mayor,Nonpartisan,14671.05,19356.31,0.547593,0.390879
,,Rob A Nosse,Friends of Rob Nosse,Democrat,336708.23,244500.18,0.141351,0.819867
,,Roble Anderson,Roble Anderson for the People,Nonpartisan,2602.89,1728.16,0.655176,0.402453
,,Steve V Milligan,Milligan for Monmouth,Nonpartisan,2904.06,2407.1,0.869795,0.26041
,,Russell Axelrod,Committee to Elect Russell Axelrod,Nonpartisan,18122.12,22007.89,0.351897,0.655845
,,Michael M Taylor,Taylor For Sheriff,Nonpartisan,5809.71,7238.98,0.638221,0.566716
,,AJ O'Connell,A.J. O'Connell Committee,Nonpartisan,1728.02,2018.25,0.831371,0.40147
,,Brad Avakian,Committee to Elect Brad Avakian,Democrat,1231478.08,869334.17,0.102585,0.849652
,,David Russ,David Russ Yamhill County Commissioner 2014,Nonpartisan,400,316.98,1,
,,"Rocky L. Smith, Jr.",Rocky Smith Campaign,Nonpartisan,1764.95,2167.51,0.901511,0.432923
,,Jefferson Smith,Forward with Jefferson Smith,Nonpartisan,971736.34,1153189.36,0.288596,0.606886
,,John Sewell,The Committee to Elect John Sewell,Nonpartisan,6697.54,6265.97,0.633068,0.396793
,,Scott Barbur,Scott Barbur for Milwaukie,Nonpartisan,5946.79,5964.66,0.125579,0.892379
,,Wally Hicks,Committee to Elect Wally Hicks,Nonpartisan,96418.88,133029.77,0.030067,0.867716
,,Andre Wang,Andre for Oregon,Republican,150,7376.5,1,
,,James Diefenderfer,James Diefenderfer Political Action Committee,Democrat,5252.1,4616,0.44784,0.614992
,,Mark Wisnovsky,Committee to Elect Mark Wisnovsky,Democrat,,4584.9,,
,,Richard Levine,Committee to Elect Rick Levine ,Democrat,250,655.06,,1
,,Kevin H Stine,Kevin Stine for Medford,Nonpartisan,4183.09,4455.95,0.282827,0.741079
,,Shane T Bemis,Shane Bemis for Mayor,Nonpartisan,100,,1,
,,Jim Williams,Jim Williams for City Council,Nonpartisan,2026.04,573.96,,
,,Jean M Martwick,Elect Judge Jean Marie Martwick,Nonpartisan,37123.58,8566.67,0.112784,0.952375
,,James Bellet,James Bellet for Klamath County Commissioner,Nonpartisan,6619.91,7459.61,0.566417,0.620812
,,Ted A Tosterud,Ted Tosterud,Nonpartisan,8015.02,7823.74,0.020979,0.979021
,,Kevin Cameron,Kevin Cameron for Oregon,Republican,451371.27,458628.06,0.122783,0.738732
,,Dave R Daniel,Friends of Dave Daniel for Sheriff,Nonpartisan,23449.97,21819.05,0.338899,0.71302
,,Steve Bogart,Steve Bogart for Baker JP,Nonpartisan,3280,3815.19,0.557927,0.564024
,,Terry Jordan,Friends of Terry Jordan,Nonpartisan,2698.73,3920.36,0.246934,0.753066
,,Roy P Wright,Roy Wright Campaign,Nonpartisan,11679.44,10587.76,0.573394,0.496942
,,David Hoppe,Elect Dave Hoppe For DA,Nonpartisan,43942.42,51500.47,0.108893,0.866189
,,Jules Bailey,Friends of Jules,Working Families,449844.26,431847.55,0.110592,0.791783
,,Claire Syrett,Claire Syrett for Eugene City Council,Nonpartisan,4455,4014.89,0.536703,0.517449
,,Douglas Whitsett,Committee to Elect Doug Whitsett,Democrat,178626.32,248417.4,0.0696988,0.695428
,,Jeffrey A. Caton,Friends of Jeff Caton,Nonpartisan,15240.74,13398.52,0.339507,0.660493
,,Christine D Walker,Re-Elect Chris Walker Jackson County Clerk,Nonpartisan,100,,,
,,Philip N Barnhart,Friends of Phil Barnhart,Democrat,192172.1,196987.79,0.14138,0.778012
,,Brenda M Perry,Committee to Elect Brenda Perry,Nonpartisan,5567.11,8490.17,0.23558,0.782383
,,John Adam Peterson,Committee to Retain Judge Adam Peterson,Nonpartisan,60731.53,45431.42,0.114581,0.867207
,,Kevin P. Manske,Elect Manske,Nonpartisan,15391.08,4223.87,0.15431,0.871679
,,Kelley M Minty Morris,Elect Kelley Minty Morris,Nonpartisan,33477.67,27548.58,0.265001,0.805403
,,Patrick Iler,Friends of Patrick Iler,Nonpartisan,2500,1195.51,,1
,,Richard Harisay,Committee to Elect Rich Harisay,Democrat,3401.68,3302.12,0.225113,0.774887
,,Dennis Linthicum,Friends For Dennis Linthicum,Nonpartisan,589.07,8110.82,0.151204,0.848796
,,Knute Buehler,Buehler For a United Oregon,Republican,2675870.06,2302595.69,0.117355,0.865056
,,Douglas Knight,Doug Knight Campaign 2012 Bend City Council,Nonpartisan,13195.02,18297.27,0.0147783,0.9928
,,Bradd A. Swank,Friends of Bradd Swank,Nonpartisan,2909.48,2892,0.603594,0.471459
,,Cheryl A. Mueller,Friends of Cheryl Mueller,Republican,5525,1743.11,0.0414747,0.958525
,,James R Carson,Committee to elect Randy Carson,Nonpartisan,10739.56,3668.32,,1
,,Suzanne Bonamici,Friends of Suzanne Bonamici,Democrat,1314,50733.42,0.0384615,0.961538
,,Michael Cowles,Cowles for Lane County Assessor,Nonpartisan,3205,4259.78,0.453682,0.570071
,,Henry Heimuller,Henry Heimuller for Columbia County Commissioner Committee,Nonpartisan,44907.91,44705.77,0.18415,0.803709
,,Elizabeth Furse,Friends of Elizabeth Furse,Nonpartisan,174275.1,198096.29,0.23544,0.838851
,,Timothy McMenamin,McMenamin For Oregon,Republican,69073.34,72389.91,0.148164,0.868808
,,Jason Myers,Friends of Sheriff Jason Myers,Nonpartisan,300.82,806.5,1,
,,"Thomas M. Chereck, Jr.",Thomas M. Chereck Jr.,Republican,48.49,46.01,1,
,,Patricia Roberts,Committee to Elect Patricia Roberts,Nonpartisan,,8.33,,
,,Tom M Anderson,Elect Tom Anderson,Nonpartisan,1764.94,1563.74,0.428571,0.571429
,,Rich Rosenthal,Committee to Elect Rich Rosenthal,Nonpartisan,3885,3560.82,0.469496,0.61008
,,Don Skundrick,Campaign to elect Don Skundrick,Republican,,1905.15,,
,,Julie Parrish,Friends of Julie Parrish,Republican,604776.31,615441.899999999,0.0199193,0.851456
,,Wells Ashby,Committee to Elect Wells Ashby,Nonpartisan,114.07,1934.84,1,
,,David E. Leith,Committee to Retain Judge David Leith,Nonpartisan,150,100,1,
,,Christopher Gorsek,Friends of Chris Gorsek,Working Families,742667.36,217586.95,0.0367261,0.938749
,,Dr. Rodney E Orr,Committee to Elect Dr. Rodney E. Orr,Democrat,11239.34,9086.27,,1
,,Jack A Brown Jr,Jack Brown PAC,Nonpartisan,264.84,264,0.622414,0.377586
,,Teddy E Keizer,Friends of Teddy Keizer,Democrat,305188.09,310267.74,0.178201,0.824111
,,Tim Freeman,Friends of Tim Freeman,Democrat,510780.16,539470.98,0.025239,0.844431
,,Elizabeth (Betsy) Johnson,Committee to Elect Betsy Johnson,Democrat,508268.34,508968.96,0.0163972,0.743672
,,Kellie Johnson,Kellie Johnson for District Attorney,Nonpartisan,31805,32483.44,0.501188,0.566947
,,"Vincent Miquel Mulier, Dr.",Dr. Vincent Miquel Mulier,Nonpartisan,7101.01,3916.11,0.586777,
,,Phil Brady,Phil Brady PUD Committee,Nonpartisan,540,540,0.537037,0.833333
,,Stephen Griffith,Steve Griffith For Oregon Senate,Republican,,6000,,
,,Mike Cosgrove,Mike Cosgrove For Grant County Commissioner,Independent,4732.58,,0.00739554,0.992604
,,Karen Blair,Committee to Elect Karen Blair,Nonpartisan,,672.29,,
,,Sara A. Gelser,Sara Gelser for State Senate,Democrat,1032109.73,399709.09,0.0653114,0.882648
,,Natasha K Dunne-Bjornsen,Friends of Natasha Bjornsen,Democrat,2490.49,3468.53,0.466664,0.61867
